,commands
0,"No, actually, it was a little of both. Sometimes when a disease is in all the magazines and all the news shows, it's only natural that you think you have it."
1,Where's Mr. Bergstrom?
2,I don't know. Although I'd sure like to talk to him. He didn't touch my lesson plan. What did he teach you?
3,That life is worth living.
4,"The polls will be open from now until the end of recess. Now, just in case any of you have decided to put any thought into this, we'll have our final statements. Martin?"
5,I don't think there's anything left to say.
6,Victory party under the slide!
7,Mr. Bergstrom! Mr. Bergstrom!
8,"Hey, hey, he Moved out this morning. He must have a new job -- he took his Copernicus costume."
9,Do you know where I could find him?
10,I think he's taking the next train to Capital City.
11,"The train, how like him... traditional, yet environmentally sound."
12,"Yes, and it's been the backbone of our country since Leland Stanford drove that golden spike at Promontory point."
13,"I see he touched you, too."
14,"Hey, thanks for your vote, man."
15,I didn't vote. Voting's for geeks.
16,"Well, you got that right. Thanks for your vote, girls."
17,We forgot.
18,"Well, don't sweat it. Just so long as a couple of people did... right, Milhouse?"
19,Uh oh.
20,Somebody must have voted.
21,"What about you, Bart? Didn't you vote?"
22,I demand a recount.
23,"One for Martin, two for Martin. Would you like another recount?"
24,"Well, I just want to make sure. One for Martin. Two for Martin."
25,"This way, Mister President!"
26,"Now boarding on track 5, The afternoon delight coming to Shelbyville, Parkville, andÃ¢â‚¬Â¦.."
27,"Mr. Bergstrom! Hey, Mr. Bergstrom!"
28,"Hey, Lisa."
29,"Hey,  indeed."
30,What? What is it?
31,"Oh, I mean, were you just going to leave, just like that?"
32,"Ah, I'm sorry, Lisa. You know, it's the life of the substitute teacher: he's a fraud. Today he might be wearing gym shorts, tomorrow he's speaking French, or, or, or pretending to know how to run a band saw, or God knows what."
33,You can't go! You're the best teacher I'll ever have.
34,"Ah, that's not true. Other teachers will come along who..."
35,"Oh, please."
36,"No, I can't lie to you, I am the best. But, you know, they need me over in the projects of Capital City."
37,But I need you too.
38,That's the problem with being middle class. Anybody who really cares will abandon you for those who need it more.
39,"I, I understand. Mr. Bergstrom, I'm going to miss you."
40,I'll tell you what...
41,"Whenever you feel like you're alone and there's nobody you can rely on, this is all you need to know."
42,"Thank you, Mr. Bergstrom."
43,All aboard!
44,"So, I guess this is it? It you don't mind I'll just run alongside the train as it speeds you from my life?"
45,"Goodbye, Lisa honey. It'll be okay. Just read the note."
46,Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?
47,"Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?"
48,tell your father.
49,Mr. Bergstrom left today.
50,He's gone. Forever.
51,I didn't think you'd understand.
52,"Hey, just because I don't care doesn't mean I don't understand."
53,"I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon!"
54,"Yes, you! Baboon, baboon, baboon, baboon!"
55,I don't think you realize what you're saying.
56,"Whoa, somebody was bound to say it one day. I just can't believe it was her."
57,"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!"
58,"you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy."
59,Go Away.
60,don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?
61,This isn't going well at all.
62,"Look, if you just want me to forgive you --"
63,"No, no, no. I just wish I knew what to say."
64,"Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof."
65,That was our wedding.
66,"Children, it's time for you to go to bed."
67,"It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?"
68,I can hold these nails in place with my tail.
69,You're so silly.
70,Gimme a banana.
71,I don't have any banana.
72,"Come on, you're holding out on me."
73,"I'm sorry I called you a baboon, Dad."
74,Think nothing of it.
75,"Hey, what's the matter, son?"
76,"Ah, Dad, if just me, Milhouse and Lewis had voted..."
